Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
9676849,"Dreadnaught (The Lost Fleet: Beyond the Frontier, #1)",Jack Campbell,"Campbell, Jack",,441020372,9780441020379,5,4,Ace,Hardcover,356,2011,2011,,2013/09/14,sci-fi,sci-fi (#55),read,,,,,,,0,,,,,
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,307346609,9780307346605,5,4,Crown,Hardcover,342,2006,2006,,2011/12/02,sci-fi,sci-fi (#25),read,,,,,,,0,,,,,
38447,The Handmaid's Tale,Margaret Atwood,"Atwood, Margaret",,038549081X,9780385490818,4,4,Anchor Books,Paperback,311,1998,1985,,2011/12/02,sci-fi,sci-fi (#20),read,,,,,,,0,,,,,
88071,The Last Colony (Old Man's War #3),John Scalzi,"Scalzi, John",,765316978,9780765316974,4,4.01,Tor Books,Hardcover,320,2007,2007,,2011/12/03,sci-fi,sci-fi (#17),read,,,,,,,0,,,,,
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,156030306,9780156030304,4,4.02,Mariner Books,Paperback,311,2005,1958,,2012/03/31,sci-fi,sci-fi (#4),read,,,,,,,0,,,,,
4981,Slaughterhouse-Five,Kurt Vonnegut,"Vonnegut, Kurt",,385333846,9780385333849,4,4.03,Dial Press Trade Paperback,Paperback,215,1999,1969,2015/02/23,2011/12/02,sci-fi,sci-fi (#77),read,,,,,,,0,,,,,
21407680,ATLAS 2,Isaac Hooke,"Hooke, Isaac",,,,3,4.03,,Paperback,240,2014,2014,2015/02/03,2014/04/01,sci-fi,sci-fi (#76),read,,,,,,,0,,,,,
24358527,Angles of Attack (Frontlines #3),Marko Kloos,"Kloos, Marko",,,,4,4.04,47North,Kindle Edition,352,2015,2015,,2015/02/09,sci-fi,sci-fi (#83),read,,,,,,,0,,,,,
5292173,"Relentless (The Lost Fleet, #5)",Jack Campbell,"Campbell, Jack",,441017088,9780441017089,5,4.04,Ace,Paperback,336,2009,2009,,2013/09/14,sci-fi,sci-fi (#53),read,,,,,,,0,,,,,
18131,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,"L'Engle, Madeleine",,440498058,9780440498056,4,4.04,Yearling Books,Paperback,211,1973,1962,,2011/12/02,sci-fi,sci-fi (#21),read,,,,,,,0,,,,,
15698479,"The Human Division (Old Man's War, #5)",John Scalzi,"Scalzi, John",,765333511,9780765333513,4,4.05,Tor Books,Hardcover,431,2013,2013,,2013/08/28,sci-fi,sci-fi (#37),read,Collection of short stories from a larger narrative. ,,,,,,0,,,,,
15984804,"Guardian (The Lost Fleet: Beyond the Frontier, #3)",Jack Campbell,"Campbell, Jack",,042526050X,9780425260500,0,4.05,Ace,Hardcover,416,2013,2013,,2013/09/14,sci-fi,sci-fi (#75),read,,,,,,,0,,,,,
18476102,"Lines of Departure (Frontlines, #2)",Marko Kloos,"Kloos, Marko",,1477817409,9781477817407,5,4.05,47North,Paperback,315,2014,2014,2014/04/03,2014/01/16,sci-fi,sci-fi (#45),read,,,,,,,0,,,,,
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,055358202X,9780553582024,5,4.07,Bantam,Mass Market Paperback,1060,2006,2005,2014/08/13,2014/07/10,sci-fi,sci-fi (#70),read,,,,,,,0,,,,,
7200884,"Victorious (The Lost Fleet, #6)",Jack Campbell,"Campbell, Jack",,441018696,9780441018697,5,4.07,Ace,Paperback,352,2010,2010,,2013/09/14,sci-fi,sci-fi (#54),read,,,,,,,0,,,,,
7488673,By Heresies Distressed,David Weber,"Weber, David",,765353997,9780765353993,3,4.08,Tor Science Fiction,Paperback,640,2010,2009,,2014/06/19,sci-fi,sci-fi (#39),read,,,,,,,0,,,,,
2381756,"By Schism Rent Asunder (Safehold, #2)",David Weber,"Weber, David",,765315017,9780765315014,2,4.08,Tor Books,Hardcover,510,2008,2008,,2011/12/03,sci-fi,sci-fi (#15),read,,,,,,,0,,,,,
12398719,"Invincible (The Lost Fleet: Beyond the Frontier, #2)",Jack Campbell,"Campbell, Jack",,1937007456,9781937007454,4,4.08,Ace,Hardcover,389,2012,2012,2013/09/18,2013/09/14,sci-fi,sci-fi (#38),read,,,,,,,0,,,,,
239399,"The Ghost Brigades (Old Man's War, #2)",John Scalzi,"Scalzi, John",,765354063,9780765354068,5,4.08,Tor Science Fiction,Paperback,347,2007,2006,,2011/12/03,sci-fi,sci-fi (#18),read,,,,,,,0,,,,,
6940561,"A Mighty Fortress (Safehold, #4)",David Weber,"Weber, David",,076531505X,9780765315052,4,4.09,Tor Books,Hardcover,718,2010,2010,,2014/06/19,sci-fi,sci-fi (#40),read,,,,,,,0,,,,,
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,553803719,9780553803716,0,4.09,Spectra,Hardcover,256,2004,1951,,2012/03/17,sci-fi,sci-fi (#12),read,,,,,,,0,,,,,
72199,"Off Armageddon Reef (Safehold, #1)",David Weber,"Weber, David",,765315009,9780765315007,4,4.12,Tor Books,Hardcover,605,2007,2007,,2011/12/03,sci-fi,sci-fi (#16),read,,,,,,,0,,,,,
