time, NumFocus, Heuristics, MIPGap, MIPFocus
0.00539207458496, 0, 0.05, 1e-10, 0
0.00495600700378, 0, 0.05, 1e-10, 0
0.00516796112061, 0, 0.05, 1e-10, 0
0.00477290153503, 0, 0.05, 1e-10, 0
0.0047619342804, 0, 0.05, 1e-10, 0
0.00467681884766, 0, 0.05, 1e-10, 0
0.00492906570435, 0, 0.05, 1e-10, 0
0.00495576858521, 0, 0.05, 1e-10, 0
0.00477290153503, 0, 0.05, 1e-10, 0
0.00485301017761, 0, 0.05, 1e-10, 0
0.00487899780273, 0, 0.05, 1e-10, 0
0.00778412818909, 0, 0.05, 1e-10, 0
0.00502896308899, 0, 0.05, 1e-10, 0
0.00514817237854, 0, 0.05, 1e-10, 0
0.0048999786377, 0, 0.05, 1e-10, 0
0.00476288795471, 0, 0.05, 1e-10, 0
0.00492000579834, 0, 0.05, 1e-10, 0
0.00494909286499, 0, 0.05, 1e-10, 0
0.00477290153503, 0, 0.05, 1e-10, 0
0.00475192070007, 0, 0.05, 1e-10, 0
0.00501394271851, 0, 0.05, 1e-10, 0
0.00482201576233, 0, 0.05, 1e-10, 0
0.00475120544434, 0, 0.05, 1e-10, 0
0.00476408004761, 0, 0.05, 1e-10, 0
0.00515294075012, 0, 0.05, 1e-10, 0
0.00486493110657, 0, 0.05, 1e-10, 0
0.00468993186951, 0, 0.05, 1e-10, 0
0.00477290153503, 0, 0.05, 1e-10, 0
0.00528502464294, 0, 0.05, 1e-10, 0
0.00480985641479, 0, 0.05, 1e-10, 0
0.00471711158752, 3, 0.05, 1e-10, 0
0.00478982925415, 3, 0.05, 1e-10, 0
0.00529599189758, 3, 0.05, 1e-10, 0
0.00483703613281, 3, 0.05, 1e-10, 0
0.00483298301697, 3, 0.05, 1e-10, 0
0.00475287437439, 3, 0.05, 1e-10, 0
0.00509095191956, 3, 0.05, 1e-10, 0
0.00493216514587, 3, 0.05, 1e-10, 0
0.004802942276, 3, 0.05, 1e-10, 0
0.00476288795471, 3, 0.05, 1e-10, 0
0.00486397743225, 3, 0.05, 1e-10, 0
0.00475811958313, 3, 0.05, 1e-10, 0
0.00480318069458, 3, 0.05, 1e-10, 0
0.00486707687378, 3, 0.05, 1e-10, 0
0.00486993789673, 3, 0.05, 1e-10, 0
0.00482702255249, 3, 0.05, 1e-10, 0
0.00488805770874, 3, 0.05, 1e-10, 0
0.00533699989319, 3, 0.05, 1e-10, 0
0.00482797622681, 3, 0.05, 1e-10, 0
0.00477695465088, 3, 0.05, 1e-10, 0
0.00475692749023, 3, 0.05, 1e-10, 0
0.00520515441895, 3, 0.05, 1e-10, 0
0.00481200218201, 3, 0.05, 1e-10, 0
0.00471210479736, 3, 0.05, 1e-10, 0
0.00470995903015, 3, 0.05, 1e-10, 0
0.00530290603638, 3, 0.05, 1e-10, 0
0.0047709941864, 3, 0.05, 1e-10, 0
0.00477409362793, 3, 0.05, 1e-10, 0
0.00479006767273, 3, 0.05, 1e-10, 0
0.00955510139465, 3, 0.05, 1e-10, 0
0.0062940120697, 0, 0.1, 1e-10, 0
